X'28373e6c41d9f6b9c0a80133'
X'305634bc40d0de0bc0a80132'
X'33530cb74cc72d2dc0a80134'
X'37450ef443188997c0a80133'
X'3ec429f042b19dd7c0a80133'
X'483958184179b518c0a80132'
X'54ef699c476a95a7c0a80133'
X'587e53e142b2f4f8c0a80133'
X'65996ccf41815defc0a80133'
X'69ac21184148973bc0a8013c'
X'6f9254ee47f833dcc0a80134'
X'74c94b54481ff286c0a80133'
X'91dd31ba43308b0bc0a80132'
X'95a20a774a313d85c0a80135'
X'aa8448bc410cf28ec0a80132'
X'aeba028e45e4ae45c0a80132'
X'be1a071241704fecc0a80146'
X'e5f414b44487c2d2c0a80134'
X'ff056a6c447fac6ac0a80134'
X'ff322f7642f11123c0a80132'
