X'020d26f23a4927afc0a80118'
X'06bb2f413a2fb9abc0a801e1'
X'11f001a73f1448b4c0a80132'
X'146211393f93f8a0c0a80132'
X'2e9e5d8044bc0c2cc0a80133'
X'368d6deb43fd00b3c0a80134'
X'59865ba24b3d680fc0a80132'
X'5e370b3044357999c0a80132'
X'62c32af141c90a68c0a80132'
X'62f86c07417700aec0a80133'
X'6f252f413a2fc6cdc0a801e1'
X'73bb03e33fac0001c0a80134'
X'86850f3f41f4fa2ec0a80133'
X'8bb526f23a491facc0a80118'
X'92ad6df5471ebaaec0a80132'
X'98f01b9d3d78e7cac0a80119'
X'a474479a407ed3bbffffffff'
X'a9422f413a2fd031c0a801e1'
X'add93af33a2fd889c0a80119'
X'c43b3ba33e484273c0a80132'
X'c871221f4403c870c0a80132'
X'd8735aaa42d5baeec0a80132'
X'd9f8016f3c2b7bc7c0a80119'
X'e5885399401348fdc0a80133'
X'e8db094f407f0858ffffffff'
X'e98350413c1d516dc0a80119'
X'ec6a12ea3f14d0d2c0a80132'
