X'13f3239240f2c83bc0a80133'
X'1f2f449c41a907a2c0a80134'
X'4bae4f553d77c1c1c0a80118'
X'654713e839cb9550c0a80151'
X'901c61ea3c914a31c0a80118'
X'9e7536de3d07819fc0a801e1'
X'b0202a4d3c1ca40bc0a801e1'
X'c38d45333e3ecf48c0a80132'
X'd9cf4ff242cf499dc0a80132'
