X'00e1442739fda86dc0a80118'
X'098471d03c2ea718c0a80119'
X'0cc00a103a0f8e61c0a801e0'
X'0fb274f33cc9ddecc0a801e1'
X'58de022b39fea243c0a80118'
X'6178022b39feb656c0a80118'
X'635921f33b868707c0a801e0'
X'6ffc022b39fed040c0a80118'
X'7131301939fd8964c0a80118'
X'72b5022b39fed0b9c0a80118'
X'7bad3ab93ba77e29c0a801e1'
X'a92e1f053a2eb859c0a80118'
X'c72147b4400dc927c0a80132'
X'c95854143d4098f4c0a80119'
X'cbea12ab3dc94403c0a80133'
X'cf554aad39c34abfc0a801e1'
X'd5c570ca39db2db3c0a80119'
X'f36f38be3a0ad191c0a801e1'
