X'13ed45403aac065ac0a80118'
X'4fdf5d943c909497c0a80118'
X'77c112d43c792d48c0a80118'
X'7c5864283a25273ac0a801e0'
X'91ba731a39d18153c0a80118'
X'9f0a0cee3e8e2db6c0a80134'
X'b4d103753b67557cc0a80119'
X'ca7912443a1583d9c0a801e1'
X'fa620edf3a23a9c7c0a80119'
