X'02d132964a10642dc0a80135'
X'05cf63b53a14726dc0a801e0'
X'1cd611f84a9d9d50c0a80132'
X'237430f5455b77e8c0a80133'
X'45ad1844491ef529c0a80133'
X'7131301939fd8964c0a80118'
X'8a680752439db75ac0a80134'
X'908b13924d3bbe5ac0a80133'
X'98d2107d3bbdf908c0a80119'
X'a92a40ab4f4876e9c0a80133'
X'c2255f7539f7b901c0a801e0'
X'c60f020c3be74941c0a80119'
X'c8ad38e239d8bf28c0a80119'
X'd8735aaa42d5baeec0a80132'
X'f63d122c49ef338fc0a80134'
