X'4ec6467c47b348b9c0a80133'
X'69ac21184148973bc0a8013c'
X'6a3c016f42fdfacdc0a80132'
X'6bc0522347cf221fc0a80132'
X'79200c9046adaed3c0a80133'
X'8045156f3a149702c0a80118'
X'b7b76da3461fb7cfc0a80134'
X'be1740f647bbb907c0a80135'
X'c01e66324789de31c0a80135'
X'd8e7050b47f16b71c0a80132'
X'daf964003c45afddc0a801e0'
X'dd50368546fd73d4c0a80134'
X'f2c16e4d48100e14c0a80134'
