X'0acc077f42826dcfc0a80134'
X'21d168f43a7f83e0c0a801e0'
X'5a14260e4186ea19c0a80132'
X'66671fa342db22a9c0a80134'
X'94f002bc401e9684c0a80132'
X'a071494440677fceffffffff'
X'b0b064c740b11af0c0a80132'
X'bde03852444717a7c0a80134'
X'de250e403ffa28d0c0a80133'
