X'09322a9c39817635c0a80118'
X'0f9102663cb18236c0a801e1'
X'1b805cc53c2fa923c0a801e0'
X'2a3f32093c76a9ebc0a80118'
X'3ca22ccb3d99d59ec0a80135'
X'44b260293ca351b9c0a80118'
X'49d8523740203427c0a80133'
X'53cb59183cda874bc0a80118'
X'730516243c0e424ac0a801e1'
X'9b8718033cb2060fc0a801e0'
X'ab520a393a39458fc0a801e0'
X'add93af33a2fd889c0a80119'
X'b04d54223b003865c0a80118'
X'b82a24143c150d07c0a80118'
X'cbfc71673cad6f7dc0a80118'
X'd3d21e613aafc908c0a801e0'
X'd6bf6e243a78f84cc0a801e1'
X'ee794d0e3c7550f2c0a801e0'
X'f269721f41b9b0b1c0a80132'
X'fd7004013ca53646c0a80118'
