X'212c6c373e213dc8c0a80133'
X'28ea527140db11aac0a80133'
X'29c531063c880e04c0a801e0'
X'39f5030c4d09ac60c0a80133'
X'4b51083040e417a5c0a80132'
X'5a310e823b2ff9b1c0a80119'
X'7336235243bdf2edc0a80132'
X'7e9b6d47402822dec0a80134'
X'813171c741f6ed5dc0a80133'
X'948f353b3fa948c1c0a80133'
X'b32442b93cb2a3edc0a801e1'
X'e3f31a5c3d639bb4c0a80118'
X'fb5a23553e36b567c0a80133'
X'fff83ef53d7778a4c0a80119'
