X'03772324482c4c34c0a80135'
X'121749873975131dc0a801e1'
X'15af024a39f63d3dc0a80118'
X'19814f5b496c485bc0a80135'
X'1d9a04c43a102dd9c0a80118'
X'21c2025d3b660bf6c0a80119'
X'2a64321e49b5edeac0a80135'
X'32031b2e40c11029c0a80133'
X'332102f23d1e6982c0a801e0'
X'3a73449c3cae66ecc0a80118'
X'3f46022b3a00af4ec0a80118'
X'44220ccc39ff81c0c0a80119'
X'48f860423b69881dc0a80118'
X'57076e2b3d12310cc0a801e2'
X'781748133d5934d5c0a801e0'
X'84a6122f3d2065e7c0a80118'
X'8bbf377e46e81068c0a80133'
X'8dcb408c39d04094c0a80119'
X'9ea66ae83aa82ac4c0a80118'
X'a6ac4eb139c62b43c0a801e0'
X'ac9d5ec546bca1acc0a80132'
X'ad5a08bf3d11f149c0a801e2'
X'b3216b2249a5f6fac0a80133'
X'b6bf527f3a32b92ec0a801e1'
X'cff6314448f6a24cc0a80133'
X'd7fa626148c6cc8fc0a80135'
X'da7821093a36384ec0a80119'
X'dee95d823d533e80c0a80119'
X'e14e03c1452bba11c0a80133'
X'e494718a397a78fcc0a801e0'
X'e5f94e063bba44a2c0a80118'
X'e70c12c439c8ba5ac0a801e1'
X'ec42137b3c6bbe3bc0a801e0'
X'ef18121539cab5d5c0a80151'
X'f02603ac39a13aefc0a801e0'
X'f1cf56d339930c3fc0a801e1'
X'f3de4bc248dbe813c0a80133'
X'f4c6518439d35403c0a80118'
