X'4acb5d7f45cdc3f0c0a80133'
X'4ef612ea46b33f33c0a80135'
X'85cf4ab6ecb141bc444d6c42'
X'8c7c5df94203a638c0a80133'
X'97e029b442725635c0a80132'
X'9ea1ff0f915916e275608ea6'
X'b314692945d498fdc0a80135'
X'c96712e043381ab8c0a80133'
X'e1a50fcf41eea8a1c0a80134'
X'f3980a4e46744dfcc0a80132'
X'f55f33e245db3224c0a80134'
