X'517d31a1442aa7acc0a80133'
X'68121cca45a032c3c0a80134'
X'7336235243bdf2edc0a80132'
X'92622eb442067efcc0a80132'
X'972c1adc452e960ac0a80134'
X'a7a50fa243ff8669c0a80132'
X'aee072bd3dcb95b1c0a80133'
X'b1b54b1441814c07c0a80134'
X'b7a05be148f34d67c0a80133'
X'b7bd347948c620c3c0a80135'
X'c2491a6b43f4aad0c0a80133'
