X'0b1259d83e13385fc0a80133'
X'29882e393be19fa5c0a801e1'
X'2d934c2539a2bf17c0a801e0'
X'31ec165a3dd03125c0a80132'
X'33182e393be1a1f5c0a801e1'
X'3e1d17663a5d1b28c0a80119'
X'4a822e393be1a845c0a801e1'
X'4b9f49274c29da61c0a80135'
X'57a970e73c3f5ddbc0a80119'
X'714f07db3eafead0c0a80133'
X'77c161643f0ef9aec0a80134'
X'83fb1fb33e594e10c0a80133'
X'ad265d963b35643bc0a80118'
X'b43d02b33eb67b27c0a80132'
X'b81c16713c693292c0a80118'
X'daca006a3c120ba6c0a801e1'
X'dc1845bc3ea5e4fcc0a80132'
X'de9264743b689240c0a801e1'
X'f22d16bd3eaf4cdfc0a80132'
