X'079241f840e3d58fc0a80133'
X'1dd473073e3adcfdc0a80133'
X'23230ada3babd5bdc0a801e1'
X'27ab0d4246c5bda5c0a80135'
X'3b42472b43b49115c0a80132'
X'8a2125fd3a061f9cc0a80118'
X'9cd6714f42e007ecc0a80133'
X'c72147b4400dc927c0a80132'
X'e54372db3d8e818cc0a80132'
