X'2c52008b3a53434fc0a801e0'
X'4363746a50106fc9c0a80135'
X'4c76488748ff21cec0a80133'
X'62661a6d54069f8ac0a86f98'
X'72c1412f555ca7e1c0a86fa6'
X'a8d526423a12bc06c0a80119'
X'b8cd43964a4a3246c0a80135'
X'd59941205192eb68c0a80132'
X'f0094e7b5229fa45c0a80135'
X'f96902153d49f738c0a801e2'
