X'09422fa03c9a3b4ec0a80118'
X'10b75abe409305b6c0a80134'
X'13ed45403aac065ac0a80118'
X'180e459439c6695fc0a801e0'
X'3a95326343d3bd99c0a80133'
X'4de9709a3ae5ba1fc0a801e0'
X'4efc503b4785226ac0a80134'
X'60494f7a39765240c0a801e1'
X'62f86c07417700aec0a80133'
X'894955a1434885f0c0a80133'
X'b2836240433fa291c0a80132'
X'f9946c874338898dc0a80134'
X'fb804be94bc73c79c0a80133'
