X'037874524079f42fffffffff'
X'045f06d341ed7889c0a80132'
X'284e34a23d6ce5a9c0a801e2'
X'52d710e4423e0e2dc0a80133'
X'65d13de9418aa310c0a8013c'
X'663371b3414fc994c0a80132'
X'69ac21184148973bc0a8013c'
X'6ef34ab1398587a7c0a801e0'
X'840553ce3f98358ec0a80133'
X'89b516b844bf8bf4c0a80134'
X'8a5f3df14294b5c9c0a80133'
X'9a1319b942dfce13c0a80132'
X'cb943c28417af5bcc0a80133'
X'dffd019741f2d6a4c0a80132'
X'e30768584897833ec0a80134'
X'e75d022642125b04c0a80132'
