X'0b066d6039d97c6ec0a80119'
X'0d636d6039d986fdc0a80119'
X'4daa4d4539d9fd5ac0a80119'
X'69254fb43a2ffb9ac0a80119'
X'95810e3139ff48a5c0a801e1'
X'95983f2147de4782c0a80132'
X'9f9c6b1347506f0bc0a8013c'
X'e8874a2d46f27fc7c0a80133'
X'ed4b6e0539dda751c0a80118'
X'f34900fe47a894f6c0a80133'
