X'07681c6f3d592905c0a80119'
X'0f7201333e4a6419c0a80134'
X'17bf4afc3b0a503bc0a80118'
X'1e05200b3cc9b6a8c0a80118'
X'208b5b8e3980f4d4c0a80118'
X'20cc3344399bf771c0a80118'
X'234729f13a00369fc0a801e1'
X'24450c8d3d064ee5c0a80118'
X'27a92c773a227848c0a80118'
X'29ea5c663c88276bc0a80118'
X'5dc264d33d9340afc0a80135'
X'5dc46a1b3a315d4bc0a801e0'
X'6359338c3b48c68dc0a801e0'
X'6cb55e703a771190c0a801e1'
X'772f53033aa34048c0a80119'
X'77d84bb23bbcdcf5c0a80118'
X'7bf722193d5bbba6c0a80118'
X'81f174cd3b0d30cbc0a801e0'
X'827a071c3b0d3e0ac0a801e1'
X'852a54623ab64ef9c0a80118'
X'8687307f3b75c10ec0a801e0'
X'8d0c02653b0bdce9c0a801e0'
X'8de433173999d55ec0a80118'
X'90d009e43b2ec256c0a80118'
X'93346b0e39ac2a84c0a801e0'
X'9b014eeb39873a2ec0a80118'
X'a0f206ef3c504adec0a80118'
X'ab8c72ca3b67b7a6c0a80119'
X'b7d6478b3ddcda6ec0a80135'
X'd3c14d253a7473a1c0a801e1'
X'd98814af39d3bb40c0a80118'
X'f3e75e6c3a218254c0a801e0'
X'fe561cc13b0a49a2c0a801e1'
