X'0dc400fc46b34cb1c0a80135'
X'2c0c3c1480a17ca61b4e81d5'
X'31aa5c0e43f94e06c0a80134'
X'4162727548529294c0a80135'
X'424d0569445e0260c0a80133'
X'45e13d6a42044f2ec0a80133'
X'68503eb9492af850c0a80135'
X'89f12a43485c3d23c0a80133'
X'91af600c48ce9cffc0a80134'
X'bae93be5472b26d8c0a80133'
X'ec0e4c3447ac3550c0a80134'
