X'030803ae3c864284c0a80119'
X'0c664d773b68205fc0a801e1'
X'187e14253b5ecce9c0a801e1'
X'3dcf55e63986fe36c0a80119'
X'65e21ab73a095a06c0a801e0'
X'720918543c7b9d91c0a801e1'
X'84c54e293ac7b030c0a80118'
X'8e5831803c88f1a2c0a801e1'
X'987821103a4c1930c0a80118'
X'acf354743988d284c0a80118'
X'ae44456e3996bd4cc0a801e0'
X'bb1958813a1726ccc0a801e1'
X'be1a209239930a67c0a80118'
X'c7ae723d3b278df0c0a801e0'
X'c89252783a1bfe7ec0a80118'
X'cc525bf039870da5c0a80119'
X'd88c1c773b5d9c5bc0a801e1'
X'dcbb12a33973724ec0a801e1'
X'de7f581e3a9be12ac0a801e0'
X'f3d325b63b702a59c0a801e1'
X'f71f4f373c7a877fc0a80118'
X'fe155ef13c87da1ac0a80119'
