X'0dec16ff43a791d9c0a80134'
X'1103093944616515c0a80134'
X'11f523544695293fc0a80133'
X'235002b34459c661c0a80134'
X'5598030246b10b53c0a80134'
X'69ac21184148973bc0a8013c'
X'9635665345c0deb0c0a80135'
X'ae6339bb4748704ac0a80133'
X'd6ae65dc3e737da8c0a80132'
X'd74054184589cd51c0a80134'
X'db8b04e44244a41fc0a80134'
X'e0ce028444443649c0a80134'
X'f0aa03ac44693c69c0a80132'
