X'079241f840e3d58fc0a80133'
X'1a4750533f03c102c0a80133'
X'22d96ea23f6dc47fc0a80132'
X'2eab664539e333d8c0a80118'
X'31ec165a3dd03125c0a80132'
X'3c85106e3a4a08f1c0a801e1'
X'3f4401ce3f7a6b54c0a80134'
X'54260bf54059b718c0a80132'
X'61046c0c46493a6dc0a80133'
X'7c52024c3a68695fc0a80118'
X'87444099414f112ec0a80132'
X'875b141744a2d58cc0a80133'
X'c496300d3a4bc2eec0a801e0'
X'd8ea5b1f3ff5a593c0a80134'
X'e32c174b3ca4bcdcc0a80118'
X'f041714b3d35d3aac0a80118'
X'f601076a3ff1c988c0a80132'
X'fe1e6f793a2e4bbfc0a801e1'
