X'0ddb2afc39d8c5e9c0a80118'
X'3d714c773e56ba3dc0a80134'
X'9239326d3e665e00c0a80133'
X'98232d363e09bfbec0a80135'
X'a2160b133f69c101c0a80132'
X'b35c48733bd84087c0a80119'
X'c6341e2e3a9059e4c0a801e0'
X'd43909f83b80eb69c0a801e1'
X'f9f904cf3c4ed9d2c0a80118'
X'fc2104f442d09d86c0a80134'
