X'27045b4841254e10c0a80134'
X'45f003543fa1376dc0a80133'
X'493073163e47ffbac0a80132'
X'596d22f14190ce51c0a80134'
X'5cf320b83cc7034ac0a801e0'
X'6f1011f53ece36aac0a80134'
X'76c11c853d8a268ec0a801e0'
X'80b015673d6aca17c0a80118'
X'89d62b1e3cb239eec0a80118'
X'8e50367b39baca8bc0a801e0'
X'c0475d3f3c473e4dc0a80118'
X'd38b1e2b3a0ddcb1c0a80118'
X'd3df4ed239f36fa3c0a801e1'
X'ed3e4e643d4cb0b2c0a801e0'
X'f64229e342681536c0a80134'
X'fb8d035a3cb450c3c0a80118'
