X'03c539b739dcb6fec0a80119'
X'040d24f33a9b2788c0a80119'
X'0c2917d93be8926cc0a801e1'
X'16656ca73a414744c0a80118'
X'2124570f39e4950cc0a80118'
X'227436524b13f018c0a80134'
X'28e1317e39d17914c0a80119'
X'3f0f02a4460831f6c0a80134'
X'40556a563a9fe3afc0a801e0'
X'47e1266245a46835c0a80134'
X'56d95d963be616b2c0a801e1'
X'62f86c07417700aec0a80133'
X'6e402b6b39cdfd6dc0a80119'
X'764e007e3b058abec0a80119'
X'7c3a4a163a372dfdc0a80118'
X'8dab6db2397fbaa9c0a80119'
X'9d56057f39e6ab60c0a80118'
X'c32c4d484075ba0effffffff'
X'c95854143d4098f4c0a80119'
X'ce352cc54207f4aac0a80134'
X'd64e54cd39de2368c0a80118'
X'd91c53ef3c87971ec0a80118'
X'e8de23283bf6fd73c0a801e0'
X'eb7a4c4439dbf725c0a80119'
X'efbb64c53c992dd9c0a801e0'
