X'026f51f83befaf5dc0a80119'
X'2c913d553b407fc4c0a80119'
X'30f9371d3cd1ef9fc0a801e1'
X'4ec0311e3d387352c0a801e0'
X'53936d153976be5dc0a801e0'
X'63ff2ad044a0be6bc0a80133'
X'69ed19df3cf567c2c0a801e1'
X'803c19e843583f6bc0a80132'
X'9103291d4edd3481c0a80135'
X'914157003e173e73c0a80132'
X'9cd6714f42e007ecc0a80133'
X'a11446573cf7ebdfc0a801e0'
X'baee034e3ff268cfc0a80132'
X'c6fa482f439f6fc1c0a80134'
X'caed4d543c553fafc0a80118'
X'ce472b7c3d84c4edc0a801e0'
X'd029340e3e6e8c43c0a80135'
X'd663316642f35feec0a80133'
X'f994101a3af80f87c0a80119'
