X'01b853b8516ed069c0a80135'
X'034867aa3dcc5c7ec0a80133'
X'1abf642c4bcef4b3c0a80135'
X'31466b344370fa9ec0a80132'
X'4c561d854ed874b2c0a80132'
X'7336235243bdf2edc0a80132'
X'84c935e44cc8367bc0a80134'
X'97cc6ff54fa49780c0a80135'
X'9b354f4e4172854dc0a80134'
X'9f696b3d41f8be0dc0a80133'
X'a2bc64474be5f1b9c0a80135'
X'a3e074a441827fb7c0a80134'
X'e0173bf24ed4fdcec0a80132'
X'ea586f103e389209c0a80133'
