X'115a7041442a0c6ac0a80134'
X'1c97409545a91827c0a80133'
X'2bc90868481b90a4c0a80132'
X'3074256743ec3420c0a80134'
X'38a61be8474236f1c0a80135'
X'57bd2fa747a494d5c0a80135'
X'62e643883bb380c0c0a801dc'
X'66e14b2245344795c0a80133'
X'6e2e1bef473280aac0a80133'
X'7d13652046f2c6bcc0a80133'
X'82af6e9942772766c0a80134'
X'85b2667f41fffc28c0a80132'
X'895f6dda43592373c0a80134'
X'9297623e3df64076c0a80133'
X'b240634045a3a2adc0a80132'
X'cd7d029044ad141fc0a80133'
X'f037701745f630ecc0a80134'
X'f23c54a245b78facc0a80135'
X'fdeb06fa45bfc545c0a80135'
