X'00090f9839fcd79dc0a80119'
X'001002db39729d04c0a80119'
X'0038432c397f3d48c0a80118'
X'004152653a0184f9c0a801e1'
X'004a087c3a6b2c7cc0a80119'
X'0068257f398ef60fc0a801e0'
X'00976fff3a6c61f8c0a80119'
X'00993e1539e42f2ac0a80119'
X'00a21e9839ddf917c0a80118'
X'00b938ed3a6d51edc0a801e1'
X'00fd4be339a00af4c0a801e1'
X'01034fa43a9ab097c0a80118'
X'010a07ae3a2a7a62c0a80118'
X'010e290b3aae7386c0a80118'
X'010f07ae3a2a7b0fc0a80118'
X'010f13423a6c7fdbc0a80118'
X'011811e639e2c80dc0a80118'
X'011e1e363a1c92b7c0a80119'
X'013806e53a24162bc0a801e1'
X'0146333039bf1b40c0a801e1'
X'015d137039e4e5b3c0a80118'
X'015e40703ff8d81ec0a80133'
X'01620ed2399a0757c0a80119'
X'016c611f4124e1c1c0a80133'
X'01782b623993f728c0a80118'
X'017d0ea93dec124cc0a80132'
X'01a50a2c3ab6621ec0a80119'
X'01aa1d18396bd9dec0a801e0'
X'01ae21e43e1eada1c0a80132'
X'01bb4874397cebacc0a80118'
X'01d6645443ff0c3ec0a80132'
X'01e464b13d61b5b6c0a80118'
X'01e96df43a93b1b7c0a80119'
X'020d26f23a4927afc0a80118'
X'022050a6397f0bf9c0a80119'
X'022a471539e4d58fc0a80119'
X'0234321f3c9b3600c0a80119'
X'02355b313a1f0446c0a801e1'
X'023a237b397808c1c0a801e0'
X'024059063974fb8fc0a801e0'
X'024602bc45f06554c0a80133'
X'024e232d39bf9b66c0a80151'
X'02595590397b2b7cc0a801e1'
X'025d53ff3a20d4c4c0a801e0'
X'02654dae407e982affffffff'
X'026f68c83a477ed1c0a801e0'
X'027e44bf39e3c843c0a80118'
X'02a44cae39f77133c0a80119'
X'02cf450b3ab668f0c0a80119'
X'02d63b3f39dbec0bc0a80118'
X'02dd1e2e3a908380c0a801e0'
X'02e6195e39786b6ec0a801e1'
X'02ec312f40ed8081c0a80133'
X'02f4379c3c6a8d6ac0a801e1'
X'02f518a139dfc642c0a80118'
X'031a06853b6b0462c0a80118'
X'0321055d47ee6c5ac0a80134'
X'03266fbe39a10d21c0a801e0'
X'03273ab13b8c4804c0a80118'
X'0335329a3a0c41a2c0a80119'
X'033c4f6c3b3137adc0a801e1'
X'033d46ed39ed99f1c0a80119'
X'034012fd3a197a3dc0a80119'
X'036603704213dfc4c0a80132'
X'037a5233420e5b58c0a80133'
X'0389033040fbf6f0c0a80132'
X'03994c283dadf3d9c0a80132'
X'03b85bc13990f861c0a801e0'
X'03c031d039cbd52cc0a801e0'
X'03c4076d3d13478ec0a80118'
X'03ec56383cd9cbd1c0a801e1'
X'03f05e3939f36f3fc0a801e1'
X'043558703a761167c0a80118'
X'043853ff3a20d5b0c0a801e0'
X'04415fc539bee691c0a801e0'
X'044371173bce037ac0a801e1'
X'045f06d341ed7889c0a80132'
X'04663463397d90f5c0a80118'
X'048d63193bd49e7bc0a801e1'
X'049e344c3e2c4ea2c0a80132'
X'04a271d43ba524dbc0a801e1'
X'04aa31f53a6cb1a9c0a801e1'
X'04b44d143ed95eb4c0a80134'
X'04c02153405f78a4ffffffff'
X'04c5313842015201c0a80134'
X'04cd5a643b96751ec0a80119'
X'04d24f8d40337352c0a80132'
X'04e211763981614dc0a80118'
X'04e703763a563bc2c0a801e0'
X'050364b13d61bbc4c0a80118'
X'050f4f9a3b760333c0a801e0'
X'05300c943a37f805c0a801e0'
X'0541189a41debea1c0a80132'
X'055513693c39c55dc0a80119'
X'056f68973a13179fc0a801e1'
X'05a6624039e31d23c0a80118'
X'05ae1c6b39765d81c0a801e0'
X'05b463bd39859a1cc0a801e0'
X'05c605f840be1bfdc0a80134'
X'05cc20e73d6cf193c0a80118'
X'05dd56a43a946a2bc0a801e1'
X'05e9079b3a5b889dc0a801e1'
X'05f15c6d4239b406c0a80132'
X'05f203ac3a225409c0a801e0'
X'05fd4c2539a2d882c0a801e0'
X'060d6d4c39d2b963c0a80119'
X'062b187d39da969fc0a80118'
X'063a01373aeeea1ec0a801e0'
X'065f49f740e40bddc0a80133'
X'06725d6739668316c0a801e1'
X'068437bb42f7ab98c0a80133'
X'06931c75399dccd7c0a80119'
X'069f05a43a6dc500c0a80119'
X'06a606693b7261ffc0a80119'
X'06ac116a39f83ccfc0a80118'
X'06ac4a203d592b7cc0a80118'
X'06b2059939efb713c0a801e0'
X'06c0095b399f8e0ac0a801e1'
X'06c9509a40109d50c0a80132'
X'06f3445b39ff0eb8c0a801e1'
X'070c3b0b3a213c97c0a801e1'
X'071f65e839f4f11ac0a80118'
X'072015123ed8f4aec0a80134'
X'073969de39dc9944c0a80119'
X'0740048b39d01159c0a80119'
X'074503453979ec82c0a801e1'
X'0748034f39d1f663c0a80118'
X'074c2cd53ff8fa5fc0a80134'
X'075628df3dc93303c0a80135'
X'077438893d6bbc38c0a801e2'
X'07b96b37407f4a1affffffff'
X'07c86c6539a32d12c0a801e1'
X'07ca68dc39875eebc0a80118'
X'07da27b13a1c6f80c0a801e1'
X'08314e2939b31fdec0a801e0'
X'083e510f3a081772c0a80118'
