X'04fb138c4200fcdbc0a80132'
X'184111b7397650fbc0a801e0'
X'49a313983a71ee2ac0a80118'
X'4d2c0cea3f1ad2bfc0a80132'
X'59171988418fc65dc0a80134'
X'69ac21184148973bc0a8013c'
X'948f353b3fa948c1c0a80133'
X'9ecd6ca53e4e8a91c0a80132'
X'ad702e324447f076c0a80132'
X'b636092c4b1d3309c0a80134'
X'ba75202b421f0adcc0a80134'
X'c5fe13823d35b232c0a80119'
X'e0270c05511e7170c0a80135'
X'f781359341b3b56fc0a80134'
X'fa8622a039f66579c0a80119'
X'fc151cab5438d060c0a86f98'
