X'1c07474b4227b7ccc0a80132'
X'333e2e063f5c97afc0a80134'
X'353f712c3b6f1ffbc0a801e1'
X'45ef14fe3a3a886ac0a801e1'
X'4d7d3cd23a1fe366c0a801e0'
X'5bd402f63dfb3d73c0a80134'
X'927a68aa41b5ce47c0a80134'
X'bc4b01d240572645c0a80133'
X'd7e363313a401f3cc0a80119'
X'd7e663313a401f54c0a80119'
X'e5de0d913f826f05c0a80134'
X'f79c72463a200f91c0a801e0'
