X'07b347cf50261f07c0a80132'
X'090c038647d6cf06c0a80132'
X'115521a6520f0bdac0a80135'
X'21f111613cd44c76c0a801e1'
X'245c35775081facdc0a80132'
X'29630a9e5237055cc0a80132'
X'2ef008fe42f4b7fec0a80134'
X'33e35fb64cec5555c0a80132'
X'47dc403557dff8a9c0a86fa6'
X'65203f6651d6c838c0a80134'
X'b8cd43964a4a3246c0a80135'
X'd45e30fc49ac2167c0a80134'
X'dc9512bb50e746bbc0a80132'
X'e93f3f2d520e78d6c0a80134'
X'ed893da6538cc331c0a86f98'
X'fe6a20ab423ec1e5c0a80132'
