X'1f4f316b4f44910dc0a80135'
X'378a01604d731bb4c0a80133'
X'4110036c46a4ea53c0a80132'
X'46b248d245b0d9b5c0a80132'
X'512311844782201dc0a80135'
X'527e15b8477d1cfec0a80133'
X'5e284d77479cf5dac0a80135'
X'64460d02423b3b3bc0a80133'
X'69ac21184148973bc0a8013c'
X'94770203477e7cefc0a80134'
X'96e430b4498edd2bc0a80135'
X'aa7d737747e03ca2c0a80133'
X'f4df4b14417d4833c0a80134'
