X'06fa492947589aaec0a80133'
X'078a718743e78fe5c0a80133'
X'38162eaa39cba43fc0a801e1'
X'3c662eaa39cba4c0c0a801e1'
X'483958184179b518c0a80132'
X'6c8769a744ec88e3c0a80133'
X'7336235243bdf2edc0a80132'
X'94e216dc47cc94ebc0a80134'
X'95882010421e1133c0a80132'
X'9ea1ff0f915916e275608ea6'
X'ad0e6d9545d94af0c0a80132'
X'e94405af41e4311dc0a80133'
X'f06c37df45b8cc16c0a80132'
