X'087c09f94d8b2f4ec0a80132'
X'28403de64dca7e8bc0a80133'
X'46623a1750cbaeb5c0a80134'
X'4bd769734c9123cdc0a80133'
X'591b355e4921992ec0a80135'
X'5c811f284d633592c0a80135'
X'670452114cb35011c0a80132'
X'685e181556d36ceac0a86fa6'
X'76a402fc4cc5c6e7c0a80132'
X'787674234cbc9e88c0a80133'
X'787874234cbca008c0a80133'
X'895402fc4cc5cdd7c0a80132'
X'8c84294d4d548b8ac0a80135'
X'973e12b14d166918c0a80132'
X'98922cd94ceacca3c0a80135'
X'a8d76df750608eacc0a80132'
X'b8cd43964a4a3246c0a80135'
X'd5bf02ca463b42b4c0a80135'
X'f99c5336411bc2ffc0a8013c'
X'fe6a20ab423ec1e5c0a80132'
