X'05fc13be3fb3c149c0a80134'
X'1b6104a23e2703bac0a80132'
X'255014733ee8960cc0a80134'
X'312725ef3c695ec9c0a801e0'
X'473c2f493d657c21c0a801e0'
X'54bc2fd140c9dc57c0a80132'
X'65bf08a73b658371c0a80118'
X'71eb3cd63a90171dc0a801e1'
X'88344c143a25c042c0a80119'
X'8e4114803da1311bc0a80132'
X'a3b414803da13abec0a80132'
X'ce5b624039e354fdc0a80118'
