X'089004753efe50bdc0a80132'
X'0b913b45398a1f41c0a80119'
X'104661e1458a08dfc0a80133'
X'158f1d564e811b59c0a80133'
X'1b512a4e41a29600c0a80132'
X'35d80da84436909bc0a80132'
X'42643b494df96b63c0a80133'
X'4869130b42668a18c0a80133'
X'5164067f5791357fc0a86fa6'
X'53c248ab421bd2ffc0a80132'
X'57840aec4496b23fc0a80133'
X'5a7060934f1d8cacc0a80135'
X'6149279e43cc8f83c0a80132'
X'654713e839cb9550c0a80151'
X'698f2b7747f150a1c0a80134'
X'6e1770684f108bb9c0a80132'
X'757a39ee3dfef810c0a80133'
X'78c236e743598c72c0a80133'
X'7c455abc4818bf97c0a80135'
X'7dc9681943da8c13c0a80132'
X'8711188042acb186c0a80132'
X'8789212a414897ddc0a8013c'
X'9049371d418a9ccec0a8013c'
X'a08668d941715b0fc0a80132'
X'aecc5ab93f728ca9c0a80133'
X'b595418d3b6f4f33c0a80118'
X'b940131640d6551cc0a80134'
X'c9926f9f46352b6bc0a80135'
X'd28b2b6b4c28be3ac0a80132'
X'e1eb495f3f170083c0a80134'
X'ed2a024c4eee927dc0a80135'
X'efd742753fb07bf9c0a80134'
