X'045900af3aa7f871c0a801e0'
X'05046526443a90fdc0a80133'
X'05cc560b3f099e62c0a80132'
X'062b072045947904c0a80133'
X'08dd10e041e80094c0a80133'
X'09c43b8d42dd719ac0a80132'
X'0a10751d3d639e26c0a80119'
X'0a7d5fdc442d4cbac0a80134'
X'0ac3341f49485bbcc0a80132'
X'0b6d20f23f6ee28ec0a80133'
X'0dc606cc4945ded2c0a80132'
X'0fa73e3a441eebcac0a80133'
X'0ff0046354ef62b8c0a86f98'
X'1196368d3e0bf2e4c0a80135'
X'11c8368d3e0bf621c0a80135'
X'14b4330d3a01aac2c0a801e0'
X'14e61ae23c9d76fec0a80118'
X'17cd03d844611dd8c0a80132'
X'18cb73943d375c05c0a80118'
X'1a736d2f4c56fabbc0a80132'
X'1a770278452bbb43c0a80133'
X'1e6b5c8d49442a5ac0a80132'
X'20c70347482e2f2fc0a80132'
X'22a35a2c4c6483e9c0a80134'
X'24d203c8452bba14c0a80133'
X'2c46120b3a3a5588c0a80118'
X'2f1b4e9a423c71b5c0a80133'
X'2f8731a03a381df4c0a801e0'
X'3b45080e417d6412c0a80133'
X'3cd7631651a39bf3c0a80132'
X'3d116e004eac6eefc0a80133'
X'3f7a23663e26390dc0a80132'
X'3fef03df47f59097c0a80133'
X'44381259453d019bc0a80134'
X'449d0b4b450e1025c0a80132'
X'44e9065e4b59a845c0a80134'
X'45002f043c94f2f6c0a80118'
X'455c48bd44b3fd7fc0a80134'
X'46f80347423f3869c0a80133'
X'4960551b3a32de52c0a801e1'
X'4c396a96412161cbc0a80133'
X'4dc20edf3a231921c0a80119'
X'509e71363d4acafcc0a801e2'
X'50f860144351c6eec0a80132'
X'5356095d3db420d8c0a80132'
X'537802b1452d0874c0a80132'
X'53971b4f3d773e7cc0a801e2'
X'5a255692486a1857c0a80132'
X'5b560b4141ca05a0c0a80133'
X'5c3309a345f5310cc0a80132'
X'5cad49463ce3f2d9c0a801e1'
X'5dd7029d452bba12c0a80134'
X'5ec34c253e1377c2c0a80135'
X'601439b639fb9c19c0a801e1'
X'61f9418e45188628c0a80134'
X'623465993e3bd3a7c0a80133'
X'636f68db3c45edb1c0a801e1'
X'639026fe47cdb79fc0a80134'
X'6469201139f830aec0a80119'
X'6562750649459ba0c0a80134'
X'662921d0481d2039c0a80135'
X'67ab47634232b32cc0a80133'
X'6af133703973a2a2c0a801e1'
X'6e10530848d3dd84c0a80133'
X'6e1d0323431f3f99c0a80134'
X'6e4956cd3e35c1fdc0a80134'
X'6f1e4dea43152199c0a80132'
X'6f982450397743e7c0a801e1'
X'703c1b48493dbba8c0a80134'
X'71d11f214582d7bec0a80134'
X'733c61974d67ce7cc0a80134'
X'75a0138e44b6eeebc0a80134'
X'76f81432424c7fcfc0a80134'
X'77423a4e3debbce5c0a80134'
X'78783a4e3debc017c0a80134'
X'7a4b1ef841939d98c0a80134'
X'7ccf0fe13a98756bc0a80118'
X'7f8641f93d0e9be7c0a801e1'
X'80255c804926ef89c0a80133'
X'81055a9144b3a65ec0a80134'
X'819a5d073d3a17a7c0a80118'
X'81e65b924fe3c7aac0a80132'
X'827830743a2209b3c0a801e1'
X'84c54e293ac7b030c0a80118'
X'87564f963ece64c1c0a80133'
X'89434e924ac61c52c0a80132'
X'8aca29954da06594c0a80133'
X'8d8a60253e2ca6d3c0a80133'
X'8d991fb13ea15e42c0a80133'
X'8e206c283a41998ec0a801e0'
X'8ed513073a9d09d6c0a801e1'
X'9122320146f28fe3c0a80135'
X'93a2122b4280f3a4c0a80133'
X'949a2c843a311df9c0a801e0'
X'97915d893e23829dc0a80135'
X'99ec125b450dec89c0a80133'
X'9a5303d63a011244c0a80119'
X'9d622937434adb97c0a80132'
X'9e4b634b3c26bb35c0a80119'
X'a27f4d2639de6a29c0a80118'
X'a3b311b142eaa057c0a80134'
X'a463323440747bdcffffffff'
X'a4f90ee546f28fdfc0a80133'
X'a4fb0ee546f28fe8c0a80133'
X'a8bd47973a59fcc5c0a801e1'
X'ab9c6e6f44d8b333c0a80133'
X'abb433843eb5ea1fc0a80134'
X'adc7449f53b82c33c0a86f98'
X'af2d032441f7db2ac0a80132'
X'af3a03c7452bb78cc0a80134'
X'b13e34164330b64dc0a80132'
X'b2b9084045816ad5c0a80134'
X'b3731d14477aca50c0a80134'
X'b4f36e4f39770d65c0a801e1'
X'b4f46e274007fb61c0a80133'
X'b52a4ce73ccbe19ec0a80119'
X'b59110493d813e72c0a80118'
X'b5ef5e5641b51606c0a80133'
X'b6a75a9144b3ce93c0a80134'
