X'19a514233b61b694c0a801e1'
X'2bf171273a2fcc44c0a80119'
X'390f08e53bc63ba7c0a801e1'
X'3e1f63973c37c50bc0a801e0'
X'4b0f1cf739f3c105c0a80119'
X'582c4dbe3b87b140c0a801e0'
X'6e8f05a43a6dcda8c0a80119'
X'775d034c3ffdbd2ac0a80133'
X'78125c153a40ee51c0a801e1'
X'8c0755c63d12646bc0a801e1'
X'94e124203cdbd2e8c0a80119'
X'970650333bf18830c0a80119'
X'af9e303c3b1c0b47c0a80119'
X'd9db3af33a2fe368c0a80119'
