X'06e7048b39d0102dc0a80119'
X'0966624039e387e8c0a80118'
X'0984624039e38817c0a80118'
X'0a48297339924aa4c0a801e1'
X'10ce6fd23c0f7392c0a80119'
X'21c23f153a8c7ee9c0a80119'
X'2deb1e523b02e75bc0a80119'
X'396a3ccc399eed94c0a801e1'
X'561c57623c2b4d61c0a801e1'
X'69fc2e1d3b812c84c0a80118'
X'7f4e5f6a3bba825ac0a801e1'
X'945666ca3c0cd7dbc0a80119'
X'a51623f23c17ea93c0a801e1'
X'b1be43b239d4ef10c0a80119'
X'b31c232f39e5af7ac0a80118'
X'bf28186b3ae5acdcc0a80118'
X'c0531ed73b5646aac0a80118'
X'c19465883d2c0361c0a80118'
