X'04c16b614a4b20b7c0a80135'
X'0d1031784a55e6b6c0a80133'
X'217364634996586dc0a80134'
X'22412ff7721c6a6678cd169a'
X'35e06097430a8a5bc0a80132'
X'571d391149a36718c0a80134'
X'57ef405f437e5e7fc0a80133'
X'5e9c1a1546b14eebc0a80133'
X'73bd239148504e15c0a80132'
X'7b375fc845a51d8ac0a80135'
X'8a8b1a244c35e377c0a80135'
X'9a6248b2468d3efcc0a80134'
X'b52e36c33dd2e2a8c0a80135'
X'd161130f3cafefd4c0a801e1'
X'd74b0bfd40c90be6c0a80134'
X'eb7a19313d85e5d3c0a80119'
