X'1c661d464009bf1cc0a80133'
X'353f712c3b6f1ffbc0a801e1'
X'4b634b503ec19bfec0a80134'
X'5b106ca93b964012c0a80118'
X'7271013d3f44b103c0a80134'
X'76144c923e8b7ae1c0a80134'
X'bac668ff40491870c0a80133'
X'dc476a6c3eecf7d5c0a80134'
X'de06017640c50a3bc0a80132'
X'fd2403703e3273d5c0a80132'
