X'1aff504b3a16d2bdc0a80119'
X'1be82da33cee54a8c0a801e0'
X'50d42c4f3b67b54bc0a801e1'
X'bdc601e03b604115c0a80118'
X'cb141c2f3a802393c0a801e1'
X'd04e01283b0913ffc0a80118'
X'd7ac693b3b6eb746c0a80119'
X'f1061b823b837ce7c0a80118'
X'fd1e6b223c66626ac0a80118'
