X'06a96baa47c9bcfec0a80132'
X'0b2f47bf47a3139bc0a80134'
X'24f951fe48f27446c0a80135'
X'65e808bb426f0455c0a80134'
X'67f9384d4796c438c0a80133'
X'6c2402634dcab148c0a80135'
X'73a46c5d44e83900c0a80133'
X'94770203477e7cefc0a80134'
X'b5c21a614875e280c0a80134'
X'bd93656a487a2d34c0a80134'
X'd81a20e94784032ec0a80133'
X'ed114e5748c620eec0a80132'
