X'0a0968774444fe4ac0a80134'
X'19db3ddd43bd6925c0a80133'
X'2bf302914476fa1cc0a80132'
X'2dd12d2b3e3d9faec0a80132'
X'33f4078d454bb0e9c0a80132'
X'37d55beb3c5e0556c0a801e1'
X'503310583a88b34fc0a80118'
X'6e830dfa3d5371c0c0a801e2'
X'd607663945a45293c0a80132'
