X'07e645d63f7f8478c0a80134'
X'0b0e3d2a3e89f2e2c0a80132'
X'43990360405225b9c0a80133'
X'468d3c973cd30384c0a801e0'
X'496b6ec43ea963e3c0a80133'
X'61312cac3e4efde3c0a80134'
X'8b690159406b551affffffff'
X'8da032b14140788fc0a80132'
X'c56b369c3dd1877dc0a80132'
X'c72147b4400dc927c0a80132'
X'db3f33793a0029ccc0a801e1'
X'f50663ae3ef08d90c0a80133'
X'f6f16cb73e89ddadc0a80132'
X'ffad537340d6ed73c0a80134'
