X'03993cd23a79e0c0c0a801e1'
X'04b7127641deb25bc0a80132'
X'18b20be33a4a0b23c0a80119'
X'238868d73d9b80f9c0a80132'
X'323121b93bbe6d53c0a80119'
X'3c9412f33a3eecbec0a801e0'
X'3cd5696e57c72095c0a86fa6'
X'481a52843a422ce6c0a80118'
X'5adb06433ab3b411c0a801e0'
X'6851621041d91f29c0a80132'
X'6855621041d91fe2c0a80132'
X'7fa22666455a3073c0a80135'
X'8d5556b93a41343ac0a801e0'
X'98f01b9d3d78e7cac0a80119'
X'a494652f3a3e2f4ac0a80119'
X'a601054c3a3f9390c0a80118'
X'ac2c11133a42a1a5c0a801e0'
X'ae7d53a73a22a19ac0a80118'
X'bc2600fc3ed0f7bac0a80132'
X'c50b681939c558ecc0a801e1'
X'cb2242ee4557a2c4c0a80132'
X'd069574041d94d26c0a80132'
X'd30752843a422785c0a80118'
X'd4a9452247dd36a5c0a80132'
X'dbfa14ce3a3ebc87c0a801e0'
