X'1fca4ef339f8925cc0a80118'
X'30630f6b3e2159b8c0a80133'
X'52d851e339dd5097c0a80118'
X'7c5864283a25273ac0a801e0'
X'8655567e39fddcc7c0a801e0'
X'87012ddc3f42be50c0a80134'
X'8e5065ee3c649a04c0a80119'
X'957c38533c76bc1fc0a801e0'
X'acf35b4b3c027de7c0a801e0'
X'b59152f339c95982c0a801e1'
X'b91052f339c95a07c0a801e1'
X'd4281be43bbc774ec0a801e1'
X'db3f33793a0029ccc0a801e1'
X'e7fb52e43a039bb9c0a801e0'
X'f1a433563a187602c0a80118'
X'f51133563a1879edc0a80118'
X'f5ca4c7a3c35f7d4c0a80118'
X'f6e333563a187ba6c0a80118'
