X'06c5216f43b9bf2cc0a80133'
X'09362b683cba4e81c0a801e1'
X'09c0468744302c8bc0a80134'
X'0fb274f33cc9ddecc0a801e1'
X'1cce30123f69f6d1c0a80133'
X'1d7f0db33a85c035c0a80118'
X'1e1445dc3e2f3014c0a80135'
X'1f2f449c41a907a2c0a80134'
X'227a04a748d2cc95c0a80132'
X'25154b303e341194c0a80134'
X'271c028b44297068c0a80134'
X'3c12719042dd4edcc0a80132'
X'42bc34fe397da180c0a80118'
X'42db49183c767c98c0a801e0'
X'4323729f433e4690c0a80132'
X'44e010fe496f8ccbc0a80135'
X'542c20a8466aeb50c0a80135'
X'5a8458b5469681bfc0a80133'
X'5df12fc443916be8c0a80134'
X'68f351594719aea1c0a80134'
X'69433070439a58f5c0a80134'
X'6cfd039d4443eb58c0a80133'
X'78f65f2443bdb870c0a80133'
X'7f832017482b770cc0a80132'
X'89e9432a3a355a96c0a801e0'
X'8e5a0dbf4622056cc0a80135'
X'8fc94e78439a4be8c0a80134'
X'92b64314438a626fc0a80133'
X'92ea2b4043e10ce1c0a80132'
X'981c164746749456c0a80134'
X'987b2673479e5e58c0a80133'
X'994b39cc44303472c0a80132'
X'99542c09468c9c59c0a80134'
X'9eaa60313b5e0a1cc0a80118'
X'a4894e563ded5aa2c0a80132'
X'b13322d845cbf85cc0a80132'
X'b15270a53d89e775c0a801e2'
X'b2975f77439b7504c0a80133'
X'b5063e273b5f8d0ec0a80119'
X'b9d8022d39f844a7c0a801e1'
X'bbea029f463b81f2c0a80135'
X'bc70187439bb85f7c0a801e1'
X'cf8930613d53874dc0a801e0'
X'db24662e4655943cc0a80135'
X'ddad0752416d8dadc0a80133'
X'e5d364e23f72ff84c0a80133'
X'e9971fc9466ff4c7c0a80135'
X'eee6617a3d91a69fc0a80134'
X'fd412ab54387c9dcc0a80134'
