X'172614cc3e3a6cc4c0a80133'
X'2b6005b83a06b6c5c0a801e0'
X'2f323db13ddba14ec0a80132'
X'31a1244b39c6a46fc0a801e0'
X'367757333bcc6a2cc0a801e0'
X'38f30d083977ea1bc0a801e0'
X'4a575ad93e10643bc0a80135'
X'560760fe3e4bee5cc0a80135'
X'9be0678c3e281574c0a80132'
X'9e785a7c3c71af11c0a80118'
X'ac6659673e31c024c0a80134'
X'c43830e63e05b1a4c0a80132'
X'd6f26deb3e00d252c0a80134'
X'e39910503e301823c0a80132'
X'e74f0a613d83f46cc0a801e2'
X'fbef4d4f39d9ee08c0a80119'
