X'04e164fd4d162bbbc0a80134'
X'109a0fd14ed3e954c0a80133'
X'15856616584d86e9c0a86fa6'
X'1aa622d654e67766c0a86f98'
X'269d05695437fab9c0a86f98'
X'66854851574b1019c0a86fa6'
X'67a6121d57c8a452c0a86fa6'
X'6ea9287d5823c2e6c0a86fa6'
X'72ca652d5730311ec0a86fa6'
X'764d4c065491a4f8c0a86f98'
X'7ff3135f54f0414fc0a86f98'
X'93ce70715862b825c0a86fa6'
X'a61507dd56b2549dc0a86fa6'
X'ab8e1ae43991a64fc0a801e0'
X'babc496556b758afc0a86fa6'
X'bbe15b6c57301d8fc0a86fa6'
X'c3710e235738e44cc0a86fa6'
X'c5092a4953b1eb0fc0a86f98'
X'e3ff407d55d20837c0a86fa6'
X'e747223e5293556ec0a80132'
X'e7a506e84f00caf2c0a80132'
X'fa0f038e3dfd18c1c0a80132'
X'fdb6391d53020f91c0a86f99'
