X'023a237b397808c1c0a801e0'
X'103460aa39fc8682c0a80119'
X'1d375eba399c876bc0a80119'
X'1e30411039bc1219c0a801e0'
X'1f7f411039bc1637c0a801e0'
X'2a7f71633987a461c0a80119'
X'2d934c2539a2bf17c0a801e0'
X'480e426239f08eefc0a80119'
X'4df54b9d3a647b69c0a80119'
X'52a94cb73a39049cc0a801e0'
X'547406b4398f3ae8c0a801e1'
X'5a2439b639fb8055c0a801e1'
X'61d2167a39dcd825c0a80118'
X'71e90ff83c1f6882c0a801e0'
X'87f601263d2b1ca8c0a801e0'
X'89ca11323bac4cadc0a80118'
X'925a3b393a18ac63c0a801e1'
X'940c0e143cccd6e7c0a801e1'
X'994645be3ce3b203c0a80118'
X'9ed224923cc2db12c0a80118'
X'ad630d1239f0c716c0a801e1'
X'c6e438ab3a967680c0a80119'
