X'0c304ee542ad9964c0a80132'
X'281b161c4acb77b2c0a80135'
X'4045419955a53077c0a86fa6'
X'527035824cd01eb9c0a80134'
X'5bbf61e045904eb5c0a80132'
X'5c2c529a3d4caa87c0a801e0'
X'5ed11a1845834383c0a80135'
X'867e6c624f31a903c0a80134'
X'8ec133054b18971dc0a80132'
X'95a219c23fcf519bc0a80134'
X'a2ba5f0a457d3906c0a80132'
X'a6b01bc9405b5221c0a80132'
X'aab66fd14f07ab02c0a80134'
X'aad803124ce482fbc0a80133'
X'b8cd43964a4a3246c0a80135'
X'c10b4c8841e4a8f1c0a80132'
X'c460085b4846e210c0a80132'
X'c7f91a1a5247f8cbc0a80132'
X'd8ee62724adbf71bc0a80135'
X'da9b068350935aa8c0a80135'
X'e0f4460d4e4132c1c0a80134'
X'e479460d4e413644c0a80134'
X'fb1b727c4bd6863ac0a80134'
X'fed7231939bffbf5c0a80151'
