X'04c7632242cb42d5c0a80133'
X'09665f413b153109c0a80119'
X'101015673a3a418ec0a801e1'
X'2ba0034a417740b1c0a80133'
X'31b7245643c85edbc0a80133'
X'670814a544e9fcacc0a80133'
X'781d471a44a93573c0a80133'
X'dca9362844a17b2dc0a80133'
X'f0ba33c74054d867c0a80134'
X'fad8689044a57587c0a80132'
X'fd521ee344074323c0a80133'
