X'022803403f4affd8c0a80134'
X'03134b574b75a2f7c0a80135'
X'080103793f99538ec0a80133'
X'0b1259d83e13385fc0a80133'
X'0b381b83487523efc0a80132'
X'0ca240583aae2ab5c0a801e1'
X'104661e1458a08dfc0a80133'
X'129455a63cec4316c0a80118'
X'129471cd433bfa47c0a80134'
X'13004b14417d49cdc0a80134'
X'160b5c6f3b82c3f2c0a80119'
X'165941db40d57028c0a80134'
X'168b07973e5f9740c0a80132'
X'1e2938514361ab9bc0a80134'
X'1edb03763b753427c0a80119'
X'25615e033f4e11e9c0a80132'
X'2859212f4cacbb9dc0a80133'
X'31a029ad4fcd2203c0a80133'
X'33d467fa484c8a9ec0a80134'
X'434d42b23e5a6418c0a80133'
X'4caf12e2502dd1b5c0a80134'
X'4e7f013e3ca5b6e7c0a80118'
X'510c2cae3ac8cea0c0a80119'
X'526774dc3a457182c0a80118'
X'54ed503347682114c0a80133'
X'56640b0352e870b0c0a86f9c'
X'56c3038f3d614605c0a80118'
X'5b2423d54383906bc0a80134'
X'5de3152d3d6457f1c0a801e2'
X'67833b62448ef22fc0a80133'
X'71d11f214582d7bec0a80134'
X'7c1d18f446f15143c0a80135'
X'807b5d764acdf8a2c0a80133'
X'8b0820663a5a0476c0a801e0'
X'95094dcd3a54bbe0c0a80118'
X'9a25665d3a5206e4c0a80119'
X'9d9907694321780bc0a80133'
X'9fe8342343c4c050c0a80132'
X'a045476040a98f7bc0a80133'
X'a9452de343c2279bc0a80134'
X'ab4518393e31dec2c0a80132'
X'b3ae031841e2e836c0a80134'
X'b78c73904bf512e5c0a80134'
X'b9bb0935419d22eec0a80134'
X'c0c95cee42a0a835c0a80134'
X'c20a2ccf40b5b9c6c0a80132'
X'c2e311fc41b84f15c0a80134'
X'c30836cc3a75cfa5c0a80119'
X'c65d599548b411e4c0a80133'
X'c8874e7a41ec7d9fc0a80133'
X'd607663945a45293c0a80132'
X'd99d1af251c5c5d5c0a80132'
X'dd8930933a1ed830c0a80118'
X'de676c6b3fb0f878c0a80134'
X'df554877455218c8c0a80132'
X'df6203e63a00d6e8c0a80118'
X'dfb41284463f12e8c0a80135'
X'e03e19333f0b8c89c0a80133'
X'e064152550b58105c0a80135'
X'e737352051938e97c0a80146'
X'f42050b23d329161c0a80118'
X'f5d771753cacbe49c0a80118'
X'f755241047c05adbc0a80135'
X'fb2e0c123d2a8247c0a80118'
X'fd406592440ff62fc0a80134'
X'fe24556741ea8f27c0a80132'
