X'10ef55af411c5101c0a80132'
X'462b31c747aa096ac0a80132'
X'7cd6396b41461cdec0a80133'
X'8acd67fa47f3be67c0a80132'
X'99913c70455dd9fdc0a80132'
X'c72147b4400dc927c0a80132'
X'ce352cc54207f4aac0a80134'
X'f04d22e03df667b7c0a80135'
