X'009a68d143ab53fcc0a80132'
X'08cb647272641a9b386e6b29'
X'37766b3646ba43e8c0a80132'
X'41ba38d18dd72cca459c877e'
X'4d561dcd47a2ee26daa5d03f'
X'6a704c023e6d558ac0a80133'
X'95882010421e1133c0a80132'
X'b00a159945b2bbe9c0a80133'
X'bbea029f463b81f2c0a80135'
X'fe492fea397a38e6c0a801e1'
