X'0c8e5f1148d66217c0a80135'
X'43931b3046c96075c0a80135'
X'683844943a5e6d64c0a80119'
X'69ac21184148973bc0a8013c'
X'7336235243bdf2edc0a80132'
X'7952131548ee6eb5c0a80135'
X'7cd31f6a486b0b93c0a80132'
X'ae740a7a3a36f106c0a801e0'
X'b5ed0dd2486155f7c0a80132'
X'b8cd43964a4a3246c0a80135'
X'cd3d52d142fb8700c0a80133'
X'd29e1a254940455ec0a80132'
X'd7225cba43bedfd8c0a80132'
X'f7444431485fdecfc0a80135'
X'f9f52ed348a289ecc0a80133'
