X'08fc05103bd4db85c0a80119'
X'0bbc6b6e3ac4aaddc0a80118'
X'125b026f39edb927c0a801e0'
X'1b935e0c3b4c9b0ec0a801e1'
X'24004d4539da6a70c0a80119'
X'3baf3b413ab50618c0a801e1'
X'5233022d39f834e9c0a801e1'
X'6542106a3a967627c0a80118'
X'6654442e3a0acd80c0a801e1'
X'719e43783a0ae883c0a801e0'
X'7b6424183a40d7d5c0a801e1'
X'8bfa311e3acbb501c0a801e0'
X'ae8236c139f84f9fc0a80119'
X'aec729303aacf7bdc0a80118'
X'b10064183a26ab56c0a801e1'
X'bb6a1a483a6cf7dac0a80119'
X'eb5a2c0b3a0ff6abc0a801e1'
