X'009a68d143ab53fcc0a80132'
X'13004b14417d49cdc0a80134'
X'37116cb651f8974dc0a80132'
X'44f751514165388fc0a80132'
X'483958184179b518c0a80132'
X'4fc7541447c863c1c0a80132'
X'679a5fda4ebae6adc0a80133'
X'69ac21184148973bc0a8013c'
X'7a0003254874fd66c0a80132'
X'8a0f522c3d69ad7dc0a801e2'
X'95434453482ceca6c0a80133'
X'a2174c2956ce6bd3c0a86fa6'
X'aab5711e484707ccc0a80135'
X'ace9387e3d345ae3c0a801e0'
X'adcc69df498c627bc0a80133'
X'b334373240ee9f42c0a80133'
X'b43d02b33eb67b27c0a80132'
X'b7ee71b456c8b482c0a86fa6'
X'ba75202b421f0adcc0a80134'
X'c9146c574acf705dc0a80134'
X'ca7912443a1583d9c0a801e1'
X'd6260ec33f143d72c0a80133'
X'dba81c2047587a85c0a80135'
X'dc476a6c3eecf7d5c0a80134'
X'edde1fad42a07735c0a80133'
X'f4df4b14417d4833c0a80134'
X'ff4021443d7e67a4c0a801e2'
X'fff25af1446bbef5c0a80132'
