X'4ecc27854a7ed47ac0a80134'
X'56d6092843923095c0a80133'
X'662a5f433e6f7a5dc0a80135'
X'6811726743e61a57c0a80132'
X'70576a43498c9eecc0a80135'
X'897f46ee39edf004c0a80119'
X'90f971393cd99117c0a80118'
X'dc034cf34599ccc7c0a80133'
X'e68429f84b6b21e8c0a80132'
X'ef975962492be941c0a80133'
X'fe1870753ac93398c0a80118'
