X'30a12bf84bf79d29c0a80135'
X'31d265444d93480fc0a80135'
X'4c76488748ff21cec0a80133'
X'680d170149f8bb6cc0a80133'
X'8e3329654bb7e9eec0a80134'
X'9c161b814c4d19adc0a80132'
X'bb1947634c73fbdcc0a80134'
X'd1373d9b4ccc3524c0a80134'
X'e90e15884c4b8ba9c0a80132'
X'ea4d08c74bc5eff0c0a80135'
X'ef4711d94d504dbcc0a80134'
X'f43954264cd5f7f6c0a80132'
